agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,num_agents
SniperAgent 4,SniperAgent,0,0.0,0,27.0,0,2,3,20
AdaptiveAgent 5,AdaptiveAgent,4,0.13333333333333333,0,133.27272727272728,0.0,0,3,20
RandomAgent 6,RandomAgent,0,0.0,0,60.4,0,5,3,20
ConservativeAgent 7,ConservativeAgent,4,0.13333333333333333,0,76.78571428571429,0.0,0,3,20
AggressiveAgent 8,AggressiveAgent,0,0.0,0,74.28571428571429,0,0,3,20
SniperAgent 9,SniperAgent,0,0.0,0,45.0,0,1,3,20
AdaptiveAgent 10,AdaptiveAgent,5,0.16666666666666666,1,136.9090909090909,0.0015455950540958269,0,3,20
RandomAgent 11,RandomAgent,0,0.0,0,71.0,0,4,3,20
ConservativeAgent 12,ConservativeAgent,2,0.06666666666666667,0,109.88888888888889,0.0,0,3,20
AggressiveAgent 13,AggressiveAgent,1,0.03333333333333333,0,90.28571428571429,0.0,3,3,20
SniperAgent 14,SniperAgent,0,0.0,0,30.0,0,0,3,20
AdaptiveAgent 15,AdaptiveAgent,6,0.2,0,118.41666666666667,0.0,0,3,20
RandomAgent 16,RandomAgent,0,0.0,0,58.5,0,4,3,20
ConservativeAgent 17,ConservativeAgent,0,0.0,0,56.27272727272727,0,0,3,20
AggressiveAgent 18,AggressiveAgent,0,0.0,0,86.5,0,3,3,20
SniperAgent 19,SniperAgent,1,0.03333333333333333,0,91.75,0.0,0,3,20
AdaptiveAgent 20,AdaptiveAgent,5,0.16666666666666666,0,121.6,0.0,0,3,20
RandomAgent 1,RandomAgent,0,0.0,0,75.25,0,7,4,20
ConservativeAgent 2,ConservativeAgent,1,0.03333333333333333,0,104.0,0.0,0,4,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,99.44444444444444,0,5,4,20
SniperAgent 4,SniperAgent,0,0.0,0,57.0,0,4,4,20
AdaptiveAgent 5,AdaptiveAgent,3,0.1,0,131.72727272727272,0.0,0,4,20
RandomAgent 6,RandomAgent,0,0.0,0,80.4,0,5,4,20
ConservativeAgent 7,ConservativeAgent,1,0.03333333333333333,0,103.16666666666667,0.0,0,4,20
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,3,104.85714285714286,0.016129032258064516,5,4,20
SniperAgent 9,SniperAgent,0,0.0,0,37.0,0,3,4,20
AdaptiveAgent 10,AdaptiveAgent,7,0.23333333333333334,0,135.8125,0.0,0,4,20
RandomAgent 11,RandomAgent,0,0.0,0,96.0,0,6,4,20
ConservativeAgent 12,ConservativeAgent,1,0.03333333333333333,0,108.5,0.0,0,4,20
AggressiveAgent 13,AggressiveAgent,0,0.0,0,122.5,0,3,4,20
SniperAgent 14,SniperAgent,0,0.0,0,32.0,0,3,4,20
AdaptiveAgent 15,AdaptiveAgent,7,0.23333333333333334,0,131.14285714285714,0.0,0,4,20
RandomAgent 16,RandomAgent,0,0.0,0,66.28571428571429,0,5,4,20
ConservativeAgent 17,ConservativeAgent,2,0.06666666666666667,0,88.53846153846153,0.0,0,4,20
AggressiveAgent 18,AggressiveAgent,1,0.03333333333333333,0,100.0909090909091,0.0,1,4,20
SniperAgent 19,SniperAgent,0,0.0,0,89.5,0,2,4,20
AdaptiveAgent 20,AdaptiveAgent,6,0.2,3,140.0,0.0038860103626943004,0,4,20
RandomAgent 1,RandomAgent,0,0.0,0,67.33333333333333,0,6,5,20
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,0,98.88888888888889,0.0,0,5,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,85.85714285714286,0,1,5,20
SniperAgent 4,SniperAgent,0,0.0,0,118.0,0,0,5,20
AdaptiveAgent 5,AdaptiveAgent,6,0.2,0,112.3,0.0,0,5,20
RandomAgent 6,RandomAgent,0,0.0,0,72.66666666666667,0,4,5,20
ConservativeAgent 7,ConservativeAgent,3,0.1,0,101.25,0.0,0,5,20
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,0,96.5,0.0,3,5,20
SniperAgent 9,SniperAgent,1,0.03333333333333333,0,176.5,0.0,1,5,20
AdaptiveAgent 10,AdaptiveAgent,7,0.23333333333333334,0,124.4,0.0,0,5,20
RandomAgent 11,RandomAgent,0,0.0,0,65.25,0,5,5,20
ConservativeAgent 12,ConservativeAgent,0,0.0,0,66.27272727272727,0,0,5,20
AggressiveAgent 13,AggressiveAgent,0,0.0,0,84.71428571428571,0,3,5,20
SniperAgent 14,SniperAgent,0,0.0,0,112.5,0,1,5,20
AdaptiveAgent 15,AdaptiveAgent,2,0.06666666666666667,0,133.9,0.0,0,5,20
RandomAgent 16,RandomAgent,0,0.0,0,47.4,0,7,5,20
ConservativeAgent 17,ConservativeAgent,1,0.03333333333333333,0,51.93333333333333,0.0,0,5,20
AggressiveAgent 18,AggressiveAgent,1,0.03333333333333333,0,25.0,0.0,3,5,20
SniperAgent 19,SniperAgent,0,0.0,0,100.66666666666667,0,1,5,20
AdaptiveAgent 20,AdaptiveAgent,6,0.2,11,127.41666666666667,0.017488076311605722,0,5,20
RandomAgent 1,RandomAgent,0,0.0,0,64.33333333333333,0,5,6,20
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,0,114.6,0.0,0,6,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,111.33333333333333,0,1,6,20
SniperAgent 4,SniperAgent,0,0.0,0,76.5,0,2,6,20
AdaptiveAgent 5,AdaptiveAgent,6,0.2,0,131.33333333333334,0.0,0,6,20
RandomAgent 6,RandomAgent,0,0.0,0,73.625,0,5,6,20
ConservativeAgent 7,ConservativeAgent,1,0.03333333333333333,0,101.72727272727273,0.0,0,6,20
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,4,123.4,0.022988505747126436,4,6,20
SniperAgent 9,SniperAgent,0,0.0,0,62.0,0,1,6,20
AdaptiveAgent 10,AdaptiveAgent,5,0.16666666666666666,0,133.6,0.0,0,6,20
RandomAgent 11,RandomAgent,0,0.0,0,106.5,0,7,6,20
ConservativeAgent 12,ConservativeAgent,2,0.06666666666666667,1,85.63636363636364,0.002702702702702703,0,6,20
